feature,importance
margin_usage_ratio,0.0679151
margin_usage_ratio_5d_ma,0.027185928
day_range,0.020951454
cumulative_volume_d5,0.017879665
cumulative_return_d1,0.017784752
close_change,0.016660273
high_change_d3,0.015902203
open_change_d4,0.01583331
short_usage_ratio_5d_ma,0.015438962
open_change,0.014622734
foreign_sell_ratio_3d,0.014478956
low_change_d3,0.013697561
cumulative_volume_d4,0.013582909
margin_buy_strength_5d_ma,0.013574098
foreign_sell_ratio_4d,0.0133652715
high_change_d4,0.013168413
money_change,0.012923804
open_change_d3,0.012590489
margin_sell_strength_5d_ma,0.01254377
cumulative_volume_d1,0.012461588
up_shadow,0.012330388
margin_short_maintain_spread_5d_ma,0.011835549
foreign_sell_ratio_2d,0.011811814
high_change_d5,0.011715109
low_change_d4,0.011467593
cumulative_return_d5,0.011360283
margin_short_ratio,0.011355825
volume_vs_5ma,0.011335162
volume_change,0.011167494
volume_vs_20ma,0.011110984
cumulative_return_d2,0.011097115
margin_short_maintain_spread,0.011054147
foreign_buy_ratio_5d,0.01102808
down_shadow,0.010996714
foreign_sell_ratio_5d,0.010945374
margin_buy_strength,0.010894835
close_change_d1,0.010710822
high_change,0.010694573
foreign_sell_ratio,0.010529339
foreign_sell_ratio_1d,0.010458416
open_change_d5,0.010390115
body,0.010345991
high_change_d2,0.010331947
margin_short_ratio_5d_ma,0.010324043
open_change_d1,0.010302849
cumulative_return_d4,0.010294687
high_change_d1,0.010291103
low_change,0.010153643
cumulative_return_d3,0.010066687
low_change_d1,0.010025682
cumulative_volume_d2,0.009955169
foreign_buy_ratio,0.009825551
close_change_d3,0.009821564
cumulative_volume_d3,0.009741391
low_change_d5,0.009682809
close_change_d2,0.009651786
close_change_d4,0.009544753
open_change_d2,0.009461535
short_usage_ratio,0.00943846
foreign_buy_ratio_4d,0.009297335
foreign_buy_ratio_1d,0.009273903
close_change_d5,0.009206252
margin_balance_change_ratio_5d_ma,0.009205431
short_sell_strength,0.009171398
margin_sell_strength,0.00905645
volume_change_d4,0.008989837
low_change_d2,0.008983505
short_balance_change_ratio_5d_ma,0.008976818
foreign_net_ratio_2d,0.008899477
foreign_buy_ratio_3d,0.008856188
short_balance_change_ratio,0.008778818
foreign_buy_ratio_2d,0.008725493
margin_balance_change_ratio,0.008701925
volume_change_d2,0.008697122
foreign_net_ratio,0.008512593
volume_change_d5,0.008483992
short_buy_strength,0.008351976
volume_change_d1,0.008160636
foreign_net_ratio_1d,0.008122562
volume_change_d3,0.008108004
short_sell_strength_5d_ma,0.00809144
foreign_net_ratio_3d,0.00795016
short_buy_strength_5d_ma,0.007919686
foreign_net_ratio_4d,0.0077547994
foreign_net_ratio_5d,0.0076135416
