feature,importance,importance_normalized
p_open_change,1217.0,2.0295510639717165
rel_strength,1030.0,1.7176972850376893
p_close_change_accel,1005.0,1.6760056033620172
p_up_shadow,956.0,1.5942899072777
vol_avg_price_change,927.0,1.5459275565339203
rel_strength_cum_3d,872.0,1.4542058568474419
p_down_shadow,853.0,1.4225201787739312
vol_trend_5d,793.0,1.3224601427523182
comp_rel_strength_price,792.0,1.320792475485291
p_day_range,770.0,1.2841037956106998
rel_strength_20d_ma,766.0,1.2774331265425922
rel_strength_change,755.0,1.2590887866052967
vol_vs_20ma,747.0,1.2457474484690816
vol_volatility_10d,725.0,1.20905876859449
vol_avg_price,724.0,1.2073911013274632
vol_volatility_5d,714.0,1.1907144286571942
vol_vs_5ma,674.0,1.124007737976119
p_body,660.0,1.1006603962377426
comp_vol_price_ratio,648.0,1.0806483890334202
f_buy_ratio_accel,644.0,1.0739777199653124
p_low_change,635.0,1.0589687145620705
p_high_change,624.0,1.0406243746247748
p_rel_price,616.0,1.0272830364885597
f_buy_ratio,610.0,1.0172770328863985
f_sell_ratio_change,604.0,1.0072710292842373
f_sell_ratio_accel,596.0,0.9939296911480221
f_net_ratio_accel,595.0,0.9922620238809953
comp_vol_price_alignment,588.0,0.980588353011807
m_sell_strength_accel,567.0,0.9455673404042426
rel_strength_10d_ma,564.0,0.9405643386031618
comp_f_price_alignment,556.0,0.927223000466947
s_balance_change_ratio_5d_ma,541.0,0.9022079914615436
s_buy_strength_5d_ma,538.0,0.897204989660463
f_buy_ratio_change,538.0,0.897204989660463
rel_strength_5d_ma,534.0,0.8905343205923554
p_close_change,532.0,0.8871989860583016
comp_f_m_divergence,518.0,0.8638516443199252
ms_ratio,509.0,0.8488426389166833
vol_change,505.0,0.8421719698485758
ms_net_flow_5d_ma,505.0,0.8421719698485758
s_sell_strength,502.0,0.8371689680474952
f_net_ratio_2d,500.0,0.8338336335134413
f_imbalance,494.0,0.8238276299112801
m_sell_strength_5d_ma,483.0,0.8054832899739844
ms_activity_accel,482.0,0.8038156227069574
s_usage_ratio_accel,476.0,0.7938096191047963
