stock_id,stock_name,reason
0050,元大台灣50,受益人大會
00663L,國泰臺灣加權正2,受益人大會
00710B,復華彭博非投等債,分配收益
00711B,復華彭博新興債,分配收益
00712,復華富時不動產,分配收益
00713,元大台灣高息低波,分配收益
00728,第一金工業30,分配收益
00915,凱基優選高股息30,分配收益
00918,大華優利高填息30,分配收益
00929,復華台灣科技優息,分配收益
00930,永豐ESG低碳高息,分配收益
1219,福壽,股東常會
1232,大統益,股東常會
1316,上曜,股東常會
1338,廣華-KY,股東常會
1342,八貫,股東常會
1342,八貫,除息
1416,廣豐,股東常會
1417,嘉裕,股東常會
1436,華友聯,股東常會
1513,中興電,股東常會
1515,力山,股東常會
1529,樂事綠能,股東常會
1563,巧新,股東常會
1590,亞德客-KY,股東常會
1609,大亞,股東常會
1710,東聯,股東常會
1727,中華化,股東常會
1733,五鼎,股東常會
1752,南光,股東常會
1760,寶齡富錦,股東常會
1773,勝一,股東常會
2006,東和鋼鐵,股東常會
2006,東和鋼鐵,除息
2101,南港,股東常會
2101,南港,除息
2102,泰豐,股東常會
2114,鑫永銓,股東常會
2241,艾姆勒,股東常會
2243,宏旭-KY,股東常會
2301,光寶科,股東常會
2301,光寶科,除息
2337,旺宏,股東常會
2342,茂矽,股東常會
2363,矽統,股東常會
2375,凱美,股東常會
2397,友通,股東常會
2420,新巨,股東常會
2430,燦坤,股東常會
2430,燦坤,除息
2442,新美齊,股東常會
2489,瑞軒,股東常會
2545,皇翔,股東常會
2547,日勝生,股東常會
2618,長榮航,股東常會
2633,台灣高鐵,股東常會
2634,漢翔,股東常會
2637,慧洋-KY,股東常會
2642,宅配通,股東常會
2702,華園,股東常會
2762,世界健身-KY,股東常會
2836,高雄銀,股東常會
2845,遠東銀,股東常會
2851,中再保,股東常會
2889,國票金,股東常會
2903,遠百,股東常會
2912,統一超,股東常會
3005,神基,股東常會
3008,大立光,除息
3027,盛達,股東常會
3029,零壹,股東常會
3029,零壹,除息
3035,智原,股東常會
3149,正達,現金增資
3168,眾福科,股東常會
3338,泰碩,股東常會
3583,辛耘,股東常會
3622,洋華,股東常會
3706,神達,股東常會
3714,富采,股東常會
3715,定穎投控,股東常會
4571,鈞興-KY,股東常會
4583,台灣精銳,股東常會
4583,台灣精銳,除息
4722,國精化,股東常會
4763,材料-KY,股東常會
4771,望隼,股東常會
4915,致伸,股東常會
5007,三星,除息
5222,全訊,除息
5292,華懋,股東常會
6235,華孚,股東常會
6235,華孚,除息
6281,全國電,股東常會
6281,全國電,除息
6405,悅城,股東常會
6416,瑞祺電通,股東常會
6443,元晶,股東常會
6456,GIS-KY,股東常會
6472,保瑞,股東常會
6477,安集,股東常會
6491,晶碩,股東常會
6526,達發,股東常會
6582,申豐,股東常會
6695,芯鼎,股東常會
6768,志強-KY,股東常會
6789,采鈺,股東常會
6799,來頡,股東常會
6861,睿生光電,股東常會
6869,雲豹能源,其他
6901,鑽石投資,股東常會
6952,大武山,股東常會
8249,菱光,股東常會
8271,宇瞻,股東常會
8374,羅昇,股東常會
8467,波力-KY,股東常會
8476,台境*,股東常會
8996,高力,股東常會
9105,泰金寶-DR,股東常會
9105,泰金寶-DR,除息
9924,福興,股東常會
9934,成霖,股東常會
9935,慶豐富,股東常會
9940,信義,股東常會
9945,潤泰新,股東常會
